"id","gps_fix_at","server_upload_at","longitude","latitude","accuracy","altitude","bearing","location_provider","user_id"
1,2017-06-22 09:37:20.000,2017-06-22 09:43:42.000,36.8405401,-1.2943417,68.4,0.0,0.0,fused,1
2,2017-08-14 07:50:27.000,2017-08-14 09:05:27.000,36.8952702,-1.3419282,1409.0,0.0,0.0,fused,1
3,2017-06-13 10:34:29.000,2017-06-13 10:54:48.000,36.8119029,-1.3072201,68.4,0.0,0.0,fused,1
4,2017-06-18 12:16:20.000,2017-06-18 12:16:24.000,36.9070485,-1.3099842,1581.0,0.0,0.0,fused,1
5,2017-06-28 09:39:08.000,2017-06-28 09:58:12.000,36.8393959,-1.28031,1396.0,0.0,0.0,fused,1
6,2017-02-04 08:12:06.000,2017-02-04 08:12:32.000,36.8786823,-1.3202525,19.182,0.0,0.0,fused,1
7,2017-06-21 17:21:50.000,2017-06-21 17:21:55.000,36.9024832,-1.2893878,1700.0,0.0,0.0,fused,1
8,2017-06-20 10:08:35.000,2017-06-20 10:29:33.000,36.885694,-1.3080455,1386.0,0.0,0.0,fused,1
9,2017-05-24 04:52:31.000,2017-05-24 05:17:26.000,36.8802869,-1.289266,9.9,201.4,0.0,fused,1
10,2017-06-17 09:44:34.000,2017-06-17 09:45:02.000,36.8578813,-1.3150755,30.0,0.0,0.0,fused,1
11,2017-06-23 06:37:58.000,2017-06-23 06:38:03.000,36.8374619,-1.2844703,7.0,1730.8,120.0,fused,1
12,2017-06-20 10:08:35.000,2017-06-20 10:32:59.000,36.8727896,-1.3349358,1386.0,0.0,0.0,fused,1
13,2017-06-20 10:08:35.000,2017-06-20 10:25:52.000,36.8906051,-1.3199154,1386.0,0.0,0.0,fused,1
14,2017-06-21 08:21:00.000,2017-06-21 08:33:02.000,37.0438669,-1.047769,2183.0,0.0,0.0,fused,1
15,2017-06-25 17:07:39.000,2017-06-25 17:42:20.000,37.5229275,-2.9327878,3801.0,0.0,0.0,fused,1
16,2017-06-28 05:48:58.000,2017-06-28 05:51:33.000,36.8851367,-1.3268858,2178.0,0.0,0.0,fused,1
17,2017-06-17 03:13:29.000,2017-06-17 03:15:04.000,36.9215864,-1.2978782,1327.0,0.0,0.0,fused,1
18,2017-06-23 04:28:05.000,2017-06-23 04:47:40.000,36.8725918,-1.321248,2007.0,0.0,0.0,fused,1
19,2017-01-24 04:54:59.000,2017-01-24 04:55:06.000,36.9184219,-1.2902526,34.5,0.0,0.0,fused,1
20,2017-03-14 08:55:09.000,2017-03-14 08:55:27.000,35.0030903,0.9974602,20.887,0.0,0.0,fused,1
21,2017-05-28 15:10:03.000,2017-05-28 15:24:09.000,36.8039008,-1.3047643,20.225,0.0,0.0,fused,1
